"Product Attribute Unit", "Unidade do atributo"
"Insurance value", "Valor declarado"
"Receipt", "Aviso de recebimento"
"Own hand", "Mão Propria"
"State register", "Inscrição Estadual"
"Product attributes mapping", "Mapa de atributos do produto"
"Available shipping methods", "Metódos de entrega disponíveis"
"Adding days to delivery time", "Dias de acréscimo para entrega"
"Text delivery time", "Texto tempo de entrega"
"Free Shipping Eligible", "Elegível a frete grátis"
"Free Method fallback", "Fallback do metodo de entrega gratuita"
"Text free shipping", "Texto para frete grátis"
"Adding days to delivery when free shiping is enable", "Dias de acréscimo para entrega quando frete grátis"
"Additional days", "Dias adicionais (tempo de CD)"
